batch,config,grip_AbsRel,grip_LPIPS,grip_PSNR,grip_px,grip_sharp,grip_sharp_gt,moving_AbsRel,moving_LPIPS,moving_PSNR,moving_px,moving_sharp,moving_sharp_gt,obj_AbsRel,obj_LPIPS,obj_PSNR,obj_px,obj_sharp,obj_sharp_gt,run,s_per_gen,static_AbsRel,static_LPIPS,static_PSNR,static_px,static_sharp,static_sharp_gt,task,view,whole_AbsRel,whole_LPIPS,whole_PSNR,whole_px,whole_sharp,whole_sharp_gt
15,T25,0.15628965198993683,0.15554432570934296,17.155685424804688,0.028933104127645493,0.013095702975988388,0.025068974122405052,0.06322077661752701,0.10736022889614105,23.482452392578125,0.5914672613143921,0.0136554641649127,0.018699122592806816,,,,0.0,,,region_perceptual_apple,24.606905233860015,0.20805063843727112,0.15830278396606445,14.439706802368164,0.4085327088832855,0.013125833123922348,0.019209975376725197,apple,right,0.07925233244895935,0.12445375323295593,20.790006637573242,1.0,0.012249859049916267,0.017223184928297997
16,T25,0.24360990524291992,0.2067786157131195,15.274548530578613,0.012642822228372097,0.010065430775284767,0.026962505653500557,0.2736767530441284,0.2694292664527893,12.853937149047852,0.021599121391773224,0.019996877759695053,0.04245758429169655,0.03978966176509857,0.13984841108322144,16.63140869140625,0.0010314941173419356,0.02128654532134533,0.037916816771030426,region_perceptual_apple,24.606905233860015,0.044283922761678696,0.08740241080522537,22.163427352905273,0.9784008860588074,0.022468434646725655,0.027798503637313843,apple,left,0.04613662511110306,0.08816655725240707,21.797025680541992,1.0,0.022442277520895004,0.027716396376490593
16,T25,0.17253465950489044,0.39073848724365234,13.57623291015625,0.03907470777630806,0.009666291065514088,0.026178602129220963,0.06830694526433945,0.19027046859264374,18.91448974609375,0.5430908203125,0.013663096353411674,0.020796125754714012,0.03506208956241608,0.28267034888267517,16.928985595703125,0.003988036885857582,0.006875161547213793,0.013759917579591274,region_perceptual_apple,24.606905233860015,0.1357542872428894,0.1279115378856659,15.119847297668457,0.4569091796875,0.015846537426114082,0.02199443429708481,apple,right,0.07168499380350113,0.15300631523132324,18.54010772705078,1.0,0.01313378382474184,0.019515996798872948
17,T25,0.20560520887374878,0.2010449320077896,15.255552291870117,0.012508545070886612,0.010245835408568382,0.027111122384667397,0.2997441291809082,0.2817768156528473,12.117758750915527,0.024644775316119194,0.020433705300092697,0.045598965138196945,0.05658332258462906,0.15519344806671143,15.942684173583984,0.0010510253487154841,0.018573535606265068,0.035187724977731705,region_perceptual_apple,24.606905233860015,0.04224441573023796,0.08665481209754944,22.135589599609375,0.9753552079200745,0.022243734449148178,0.02786913514137268,apple,left,0.04623189941048622,0.08796245604753494,21.509174346923828,1.0,0.022222237661480904,0.027770882472395897
17,T25,0.15740150213241577,0.39162206649780273,13.686677932739258,0.03888794034719467,0.010481128469109535,0.026402601972222328,0.07016096264123917,0.21274372935295105,18.379093170166016,0.556835949420929,0.013606803491711617,0.02090279757976532,0.047242749482393265,0.331511527299881,16.618059158325195,0.004071044735610485,0.009096282534301281,0.013267106376588345,region_perceptual_apple,24.606905233860015,0.13160137832164764,0.13777290284633636,15.030440330505371,0.44316405057907104,0.016391141340136528,0.022437678650021553,apple,right,0.07217039912939072,0.16958606243133545,18.180418014526367,1.0,0.01316447090357542,0.019619017839431763
18,T25,0.19128848612308502,0.22166115045547485,15.54305648803711,0.014627684839069843,0.010349433869123459,0.02677694708108902,0.26832765340805054,0.2856602370738983,13.061369895935059,0.03294067457318306,0.015817543491721153,0.03472750633955002,0.13261617720127106,0.16313311457633972,15.813453674316406,0.0014672850957140326,0.00821806862950325,0.03150089830160141,region_perceptual_apple,24.606905233860015,0.055076714605093,0.08538263291120529,21.993284225463867,0.967059314250946,0.0184355266392231,0.02471582032740116,apple,left,0.060302734375,0.0879153236746788,21.443378448486328,1.0,0.018376585096120834,0.024614712223410606
18,T25,0.125882089138031,0.19227293133735657,16.661855697631836,0.012326659634709358,0.010543235577642918,0.028228847309947014,0.03202525153756142,0.08484596014022827,24.249143600463867,0.44953978061676025,0.013380256481468678,0.019167697057127953,0.07011067122220993,0.16951912641525269,16.03588104248047,0.0011486816219985485,0.01824977621436119,0.03431783244013786,region_perceptual_apple,24.606905233860015,0.0542285293340683,0.07835307717323303,20.590269088745117,0.5504602193832397,0.029818225651979446,0.037252504378557205,apple,right,0.03218640387058258,0.07800140976905823,23.98809814453125,1.0,0.02192557603120804,0.02781723625957966
19,T25,0.20384515821933746,0.24440060555934906,13.95824909210205,0.014307861216366291,0.013689529150724411,0.03349577262997627,0.2801136076450348,0.2855130136013031,13.31776237487793,0.03423827886581421,0.016222219914197922,0.037130098789930344,0.1922743022441864,0.21210968494415283,13.858724594116211,0.0015148925594985485,0.014799432829022408,0.038132213056087494,region_perceptual_apple,24.606905233860015,0.0603577084839344,0.08601351827383041,21.380023956298828,0.9657617211341858,0.01834729313850403,0.024908922612667084,apple,left,0.06554318964481354,0.08872424811124802,20.98446273803711,1.0,0.018284276127815247,0.024806920439004898
19,T25,0.1462431401014328,0.3728403151035309,14.978761672973633,0.03692626953125,0.0098330182954669,0.027286570519208908,0.06376340985298157,0.1953609734773636,18.59827995300293,0.5424560308456421,0.012366230599582195,0.01901071146130562,0.1334449052810669,0.38112500309944153,14.943502426147461,0.003879394382238388,0.0042535471729934216,0.015157368965446949,region_perceptual_apple,24.606905233860015,0.14742188155651093,0.126286119222641,15.26279354095459,0.4575439393520355,0.016363855451345444,0.024275794625282288,apple,right,0.06828636676073074,0.1580735594034195,18.23064613342285,1.0,0.01291966438293457,0.019429216161370277
0,S3b,0.22147592902183533,0.437113493680954,11.843123435974121,0.013856200501322746,0.00698490533977747,0.03736517205834389,0.27471375465393066,0.37493106722831726,13.68919563293457,0.04449829086661339,0.014658905565738678,0.03840305656194687,0.12605923414230347,0.21763837337493896,17.665843963623047,0.0034667968284338713,0.007416723296046257,0.02467477321624756,region_perceptual_apple,4.2796010136604306,0.08559300005435944,0.13968122005462646,20.65816879272461,0.9555016756057739,0.013773269951343536,0.018902059644460678,apple,left,0.09142635762691498,0.1443183422088623,20.28569221496582,1.0,0.013554762117564678,0.018931802362203598
0,S3b,0.5779416561126709,0.4228729009628296,9.313828468322754,0.015867918729782104,0.0175710991024971,0.07790507376194,0.07582329958677292,0.13721963763237,19.42031478881836,0.45782470703125,0.014256216585636139,0.01811322197318077,0.09955290704965591,0.2817009389400482,18.70404052734375,0.0015832518693059683,0.0010752874659374356,0.01644650101661682,region_perceptual_apple,4.2796010136604306,0.3143630623817444,0.1555933654308319,12.614208221435547,0.54217529296875,0.03204657509922981,0.03729696571826935,apple,right,0.11741499602794647,0.1415233016014099,17.043418884277344,1.0,0.02373998425900936,0.028419073671102524
1,S3b,0.18431833386421204,0.39364832639694214,14.205772399902344,0.02612914890050888,0.01502135582268238,0.032718054950237274,0.284963458776474,0.4939533472061157,14.030071258544922,0.06748046725988388,0.007328381296247244,0.02775750868022442,0.22300799190998077,0.4023398458957672,14.892513275146484,0.0030651853885501623,0.013743859715759754,0.023345449939370155,region_perceptual_apple,4.2796010136604306,0.11269945651292801,0.1742362082004547,18.936199188232422,0.9325194954872131,0.012752215377986431,0.018996315076947212,apple,left,0.12683166563510895,0.18489909172058105,18.56167984008789,1.0,0.012434650212526321,0.01885538548231125
1,S3b,0.11799778789281845,0.2347109615802765,16.001611709594727,0.03564453125,0.014628535136580467,0.028921352699398994,0.055778104811906815,0.12710605561733246,22.729328155517578,0.598925769329071,0.01162430178374052,0.017646122723817825,0.2506273686885834,0.5028190612792969,12.750354766845703,0.0028747557662427425,0.02238023653626442,0.025673262774944305,region_perceptual_apple,4.2796010136604306,0.13880430161952972,0.14997978508472443,16.08045196533203,0.40107420086860657,0.013174481689929962,0.01901077851653099,apple,right,0.05808763951063156,0.12969139218330383,21.90084457397461,1.0,0.011307831853628159,0.016742147505283356
2,S3b,0.3075057566165924,0.3929692804813385,15.327447891235352,0.023536376655101776,0.015856046229600906,0.02677045203745365,0.31314948201179504,0.46792110800743103,13.829718589782715,0.09731078892946243,0.005413152277469635,0.023742401972413063,0.23163281381130219,0.3996868133544922,14.133795738220215,0.0029565428849309683,0.016266319900751114,0.023852422833442688,region_perceptual_apple,4.2796010136604306,0.10926001518964767,0.17095139622688293,20.075838088989258,0.9026892185211182,0.013473565690219402,0.019629433751106262,apple,left,0.12952306866645813,0.19093939661979675,18.914508819580078,1.0,0.012685706838965416,0.01896505057811737
2,S3b,0.17450430989265442,0.2733234465122223,12.251066207885742,0.031523436307907104,0.017663829028606415,0.0349750779569149,0.06682979315519333,0.12832507491111755,21.53408432006836,0.6612280011177063,0.013143332675099373,0.01965230703353882,0.27027925848960876,0.4024985730648041,10.875978469848633,0.0036853025667369366,0.025352561846375465,0.03199757635593414,region_perceptual_apple,4.2796010136604306,0.1751343309879303,0.14016538858413696,13.190116882324219,0.3387719690799713,0.0278635136783123,0.03654851019382477,apple,right,0.07223927229642868,0.1293017864227295,19.724327087402344,1.0,0.016720207408070564,0.023627813905477524
