=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 60 = 뷰 샘플 120, 다양성 배치 20×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
51/r | 0.034 | 0.067 | 0.055 | 0.057 | 0.036 | 0.029
52/l | 0.069 | 0.075 | 0.065 | 0.060 | 0.057 | 0.054
52/r | 0.075 | 0.089 | 0.080 | 0.078 | 0.064 | 0.057
53/l | 0.065 | 0.068 | 0.063 | 0.057 | 0.066 | 0.064
53/r | 0.037 | 0.053 | 0.056 | 0.055 | 0.044 | 0.045
54/l | 0.047 | 0.049 | 0.047 | 0.049 | 0.043 | 0.039
54/r | 0.080 | 0.070 | 0.072 | 0.070 | 0.055 | 0.061
55/l | 0.060 | 0.062 | 0.058 | 0.059 | 0.053 | 0.050
55/r | 0.060 | 0.063 | 0.060 | 0.060 | 0.050 | 0.044
56/l | 0.230 | 0.302 | 0.325 | 0.304 | 0.205 | 0.195
56/r | 0.039 | 0.068 | 0.061 | 0.060 | 0.052 | 0.041
57/l | 0.316 | 0.272 | 0.274 | 0.276 | 0.228 | 0.255
57/r | 0.111 | 0.142 | 0.122 | 0.120 | 0.093 | 0.086
58/l | 0.045 | 0.052 | 0.042 | 0.045 | 0.048 | 0.044
58/r | 0.069 | 0.083 | 0.076 | 0.070 | 0.047 | 0.047
59/l | 0.047 | 0.047 | 0.047 | 0.045 | 0.051 | 0.055
59/r | 0.034 | 0.058 | 0.061 | 0.054 | 0.038 | 0.041

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
