run,task,config,batch,view,frame,grip_cent_m
policy_proxy_avgfinal,apple,T25,8,left,8,0.013525759801268578
policy_proxy_avgfinal,apple,T25,8,left,9,0.003399519482627511
policy_proxy_avgfinal,apple,T25,8,left,10,0.013276669196784496
policy_proxy_avgfinal,apple,T25,8,right,1,0.06926553696393967
policy_proxy_avgfinal,apple,T25,8,right,2,0.05004475265741348
policy_proxy_avgfinal,apple,T25,8,right,3,0.13380970060825348
policy_proxy_avgfinal,apple,T25,8,right,4,0.10148786008358002
policy_proxy_avgfinal,apple,T25,8,right,5,0.12691563367843628
policy_proxy_avgfinal,apple,T25,8,right,6,0.08016309142112732
policy_proxy_avgfinal,apple,T25,8,right,7,0.0786241739988327
policy_proxy_avgfinal,apple,T25,8,right,8,0.07382490485906601
policy_proxy_avgfinal,apple,T25,8,right,9,0.056074630469083786
policy_proxy_avgfinal,apple,T25,8,right,10,0.07620807737112045
policy_proxy_avgfinal,apple,T25,9,left,1,0.07368776202201843
policy_proxy_avgfinal,apple,T25,9,left,2,0.030475974082946777
policy_proxy_avgfinal,apple,T25,9,left,3,0.030995436012744904
policy_proxy_avgfinal,apple,T25,9,left,4,0.03688780218362808
policy_proxy_avgfinal,apple,T25,9,left,5,0.03827255219221115
policy_proxy_avgfinal,apple,T25,9,left,6,0.13028907775878906
policy_proxy_avgfinal,apple,T25,9,left,7,0.11770541965961456
policy_proxy_avgfinal,apple,T25,9,left,8,0.023637253791093826
policy_proxy_avgfinal,apple,T25,9,left,9,0.054538339376449585
policy_proxy_avgfinal,apple,T25,9,left,10,0.1475846916437149
policy_proxy_avgfinal,apple,T25,9,right,1,0.10444942116737366
policy_proxy_avgfinal,apple,T25,9,right,2,0.046169813722372055
policy_proxy_avgfinal,apple,T25,9,right,3,0.04784471541643143
policy_proxy_avgfinal,apple,T25,9,right,4,0.01708594523370266
policy_proxy_avgfinal,apple,T25,9,right,5,0.01979190669953823
policy_proxy_avgfinal,apple,T25,9,right,6,0.023803826421499252
policy_proxy_avgfinal,apple,T25,9,right,7,0.17931045591831207
policy_proxy_avgfinal,apple,T25,9,right,8,0.15121223032474518
policy_proxy_avgfinal,apple,T25,9,right,9,0.12095210701227188
policy_proxy_avgfinal,apple,T25,9,right,10,0.05444331839680672
policy_proxy_avgfinal,apple,T25,10,left,1,0.026309993118047714
policy_proxy_avgfinal,apple,T25,10,left,2,0.07163041830062866
policy_proxy_avgfinal,apple,T25,10,left,3,0.02903001196682453
policy_proxy_avgfinal,apple,T25,10,left,4,0.12251259386539459
policy_proxy_avgfinal,apple,T25,10,left,5,0.10750170052051544
policy_proxy_avgfinal,apple,T25,10,left,6,0.061563339084386826
policy_proxy_avgfinal,apple,T25,10,left,7,0.08142920583486557
policy_proxy_avgfinal,apple,T25,10,left,8,0.01705327257514
policy_proxy_avgfinal,apple,T25,10,left,9,0.025140244513750076
policy_proxy_avgfinal,apple,T25,10,left,10,0.006926259025931358
policy_proxy_avgfinal,apple,T25,10,right,1,0.06141190230846405
policy_proxy_avgfinal,apple,T25,10,right,2,0.05824289098381996
policy_proxy_avgfinal,apple,T25,10,right,3,0.11096543073654175
policy_proxy_avgfinal,apple,T25,10,right,4,0.12300067394971848
policy_proxy_avgfinal,apple,T25,10,right,5,0.09833275526762009
policy_proxy_avgfinal,apple,T25,10,right,6,0.18834209442138672
policy_proxy_avgfinal,apple,T25,10,right,7,0.026096461340785027
policy_proxy_avgfinal,apple,T25,10,right,8,0.048775166273117065
policy_proxy_avgfinal,apple,T25,10,right,9,0.08522362262010574
policy_proxy_avgfinal,apple,T25,10,right,10,0.029259588569402695
