run,task,config,batch,view,frame,grip_cent_m
policy_proxy_cereal_box,cereal_box,T25,7,left,4,0.22111795842647552
policy_proxy_cereal_box,cereal_box,T25,7,left,5,0.22682347893714905
policy_proxy_cereal_box,cereal_box,T25,7,left,6,0.22344791889190674
policy_proxy_cereal_box,cereal_box,T25,7,left,7,0.21313484013080597
policy_proxy_cereal_box,cereal_box,T25,7,left,8,0.17088717222213745
policy_proxy_cereal_box,cereal_box,T25,7,left,9,0.16582530736923218
policy_proxy_cereal_box,cereal_box,T25,7,left,10,0.12229890376329422
policy_proxy_cereal_box,cereal_box,T25,7,right,1,0.17160609364509583
policy_proxy_cereal_box,cereal_box,T25,7,right,2,0.212920144200325
policy_proxy_cereal_box,cereal_box,T25,7,right,3,0.2645287811756134
policy_proxy_cereal_box,cereal_box,T25,7,right,4,0.2716663181781769
policy_proxy_cereal_box,cereal_box,T25,7,right,5,0.27654534578323364
policy_proxy_cereal_box,cereal_box,T25,7,right,6,0.29148924350738525
policy_proxy_cereal_box,cereal_box,T25,7,right,7,0.2576722800731659
policy_proxy_cereal_box,cereal_box,T25,7,right,8,0.24746225774288177
policy_proxy_cereal_box,cereal_box,T25,7,right,9,0.2604190707206726
policy_proxy_cereal_box,cereal_box,T25,7,right,10,0.2164468914270401
policy_proxy_cereal_box,cereal_box,T25,8,left,1,0.0843956470489502
policy_proxy_cereal_box,cereal_box,T25,8,left,2,0.15129531919956207
policy_proxy_cereal_box,cereal_box,T25,8,left,3,0.1617988795042038
policy_proxy_cereal_box,cereal_box,T25,8,left,4,0.24364405870437622
policy_proxy_cereal_box,cereal_box,T25,8,left,5,0.2702445089817047
policy_proxy_cereal_box,cereal_box,T25,8,left,6,0.2924466133117676
policy_proxy_cereal_box,cereal_box,T25,8,left,7,0.259108304977417
policy_proxy_cereal_box,cereal_box,T25,8,left,8,0.22037924826145172
policy_proxy_cereal_box,cereal_box,T25,8,left,9,0.16645057499408722
policy_proxy_cereal_box,cereal_box,T25,8,left,10,0.1737244427204132
policy_proxy_cereal_box,cereal_box,T25,8,right,1,0.08396320790052414
policy_proxy_cereal_box,cereal_box,T25,8,right,2,0.16874215006828308
policy_proxy_cereal_box,cereal_box,T25,8,right,3,0.18257328867912292
policy_proxy_cereal_box,cereal_box,T25,8,right,4,0.20244275033473969
policy_proxy_cereal_box,cereal_box,T25,8,right,5,0.19847550988197327
policy_proxy_cereal_box,cereal_box,T25,8,right,6,0.18893389403820038
policy_proxy_cereal_box,cereal_box,T25,8,right,7,0.14933684468269348
policy_proxy_cereal_box,cereal_box,T25,8,right,8,0.16437427699565887
policy_proxy_cereal_box,cereal_box,T25,8,right,9,0.14886315166950226
policy_proxy_cereal_box,cereal_box,T25,8,right,10,0.13015435636043549
policy_proxy_cereal_box,cereal_box,T25,9,left,1,0.09392929077148438
policy_proxy_cereal_box,cereal_box,T25,9,left,2,0.10377601534128189
policy_proxy_cereal_box,cereal_box,T25,9,left,3,0.10186661779880524
policy_proxy_cereal_box,cereal_box,T25,9,left,4,0.14160266518592834
policy_proxy_cereal_box,cereal_box,T25,9,left,5,0.1290588080883026
policy_proxy_cereal_box,cereal_box,T25,9,left,6,0.1282481700181961
policy_proxy_cereal_box,cereal_box,T25,9,left,7,0.12677916884422302
policy_proxy_cereal_box,cereal_box,T25,9,left,8,0.12016065418720245
policy_proxy_cereal_box,cereal_box,T25,9,left,9,0.0966968685388565
policy_proxy_cereal_box,cereal_box,T25,9,left,10,0.07016204297542572
policy_proxy_cereal_box,cereal_box,T25,9,right,1,0.09789245575666428
policy_proxy_cereal_box,cereal_box,T25,9,right,2,0.09564720094203949
policy_proxy_cereal_box,cereal_box,T25,9,right,3,0.08757071942090988
policy_proxy_cereal_box,cereal_box,T25,9,right,4,0.092007115483284
policy_proxy_cereal_box,cereal_box,T25,9,right,5,0.04305015131831169
policy_proxy_cereal_box,cereal_box,T25,9,right,6,0.03610643744468689
policy_proxy_cereal_box,cereal_box,T25,9,right,7,0.06868945062160492
policy_proxy_cereal_box,cereal_box,T25,9,right,8,0.09024112671613693
policy_proxy_cereal_box,cereal_box,T25,9,right,9,0.08844680339097977
policy_proxy_cereal_box,cereal_box,T25,9,right,10,0.0926375612616539
policy_proxy_cereal_box,cereal_box,T25,10,left,1,0.017674028873443604
policy_proxy_cereal_box,cereal_box,T25,10,left,2,0.0082723218947649
policy_proxy_cereal_box,cereal_box,T25,10,left,3,0.05307885631918907
policy_proxy_cereal_box,cereal_box,T25,10,left,4,0.0722658634185791
policy_proxy_cereal_box,cereal_box,T25,10,left,5,0.06468620151281357
policy_proxy_cereal_box,cereal_box,T25,10,left,6,0.07448828220367432
policy_proxy_cereal_box,cereal_box,T25,10,left,7,0.11303761601448059
policy_proxy_cereal_box,cereal_box,T25,10,left,8,0.12512901425361633
policy_proxy_cereal_box,cereal_box,T25,10,left,9,0.11210812628269196
policy_proxy_cereal_box,cereal_box,T25,10,left,10,0.17825670540332794
policy_proxy_cereal_box,cereal_box,T25,10,right,1,0.013847308233380318
policy_proxy_cereal_box,cereal_box,T25,10,right,2,0.009736848995089531
policy_proxy_cereal_box,cereal_box,T25,10,right,3,0.06768179684877396
policy_proxy_cereal_box,cereal_box,T25,10,right,4,0.07318124920129776
policy_proxy_cereal_box,cereal_box,T25,10,right,5,0.06840676069259644
policy_proxy_cereal_box,cereal_box,T25,10,right,6,0.0765865370631218
policy_proxy_cereal_box,cereal_box,T25,10,right,7,0.05709051340818405
policy_proxy_cereal_box,cereal_box,T25,10,right,8,0.05596145614981651
policy_proxy_cereal_box,cereal_box,T25,10,right,9,0.041074421256780624
policy_proxy_cereal_box,cereal_box,T25,10,right,10,0.05244990438222885
policy_proxy_cereal_box,cereal_box,T25,11,left,1,0.02831736020743847
policy_proxy_cereal_box,cereal_box,T25,11,left,2,0.056554265320301056
policy_proxy_cereal_box,cereal_box,T25,11,left,3,0.0708150863647461
policy_proxy_cereal_box,cereal_box,T25,11,left,4,0.09079447388648987
policy_proxy_cereal_box,cereal_box,T25,11,left,5,0.09663106501102448
policy_proxy_cereal_box,cereal_box,T25,11,left,6,0.0938873216509819
policy_proxy_cereal_box,cereal_box,T25,11,left,7,0.06088866665959358
policy_proxy_cereal_box,cereal_box,T25,11,left,8,0.04545177146792412
policy_proxy_cereal_box,cereal_box,T25,11,left,9,0.062293581664562225
policy_proxy_cereal_box,cereal_box,T25,11,left,10,0.07700318098068237
policy_proxy_cereal_box,cereal_box,T25,11,right,1,0.021860986948013306
policy_proxy_cereal_box,cereal_box,T25,11,right,2,0.027714313939213753
policy_proxy_cereal_box,cereal_box,T25,11,right,3,0.020517433062195778
policy_proxy_cereal_box,cereal_box,T25,11,right,4,0.01817484013736248
policy_proxy_cereal_box,cereal_box,T25,11,right,5,0.019794754683971405
policy_proxy_cereal_box,cereal_box,T25,11,right,6,0.024362871423363686
policy_proxy_cereal_box,cereal_box,T25,11,right,7,0.024702664464712143
policy_proxy_cereal_box,cereal_box,T25,11,right,8,0.038368579000234604
policy_proxy_cereal_box,cereal_box,T25,11,right,9,0.06403845548629761
policy_proxy_cereal_box,cereal_box,T25,11,right,10,0.12096939980983734
policy_proxy_cereal_box,cereal_box,T25,12,left,1,0.03440014645457268
policy_proxy_cereal_box,cereal_box,T25,12,left,2,0.017126867547631264
policy_proxy_cereal_box,cereal_box,T25,12,left,3,0.009762493893504143
policy_proxy_cereal_box,cereal_box,T25,12,left,4,0.032624874264001846
policy_proxy_cereal_box,cereal_box,T25,12,left,5,0.036819834262132645
policy_proxy_cereal_box,cereal_box,T25,12,left,6,0.028080349788069725
policy_proxy_cereal_box,cereal_box,T25,12,left,7,0.07528103142976761
policy_proxy_cereal_box,cereal_box,T25,12,left,8,0.11390980333089828
policy_proxy_cereal_box,cereal_box,T25,12,left,9,0.16465657949447632
policy_proxy_cereal_box,cereal_box,T25,12,left,10,0.21342040598392487
policy_proxy_cereal_box,cereal_box,T25,12,right,1,0.021560586988925934
policy_proxy_cereal_box,cereal_box,T25,12,right,2,0.01923271454870701
policy_proxy_cereal_box,cereal_box,T25,12,right,3,0.024440644308924675
policy_proxy_cereal_box,cereal_box,T25,12,right,4,0.06465303152799606
policy_proxy_cereal_box,cereal_box,T25,12,right,5,0.061151109635829926
policy_proxy_cereal_box,cereal_box,T25,12,right,6,0.04465416073799133
policy_proxy_cereal_box,cereal_box,T25,12,right,7,0.012027239426970482
policy_proxy_cereal_box,cereal_box,T25,12,right,8,0.014980685897171497
policy_proxy_cereal_box,cereal_box,T25,12,right,9,0.04727480560541153
policy_proxy_cereal_box,cereal_box,T25,12,right,10,0.14767107367515564
